user_id,product_id,behavior_type,timestamp
470,P0030,cart,2026-07-01 00:00:00
1902,P0020,cart,2026-07-01 00:01:00
105,P0027,view,2026-07-01 00:02:00
3561,P0006,view,2026-07-01 00:03:00
222,P0067,cart,2026-07-01 00:04:00
84,P0017,cart,2026-07-01 00:05:00
3738,P0033,view,2026-07-01 00:06:00
2358,P0043,view,2026-07-01 00:07:00
1532,P0012,view,2026-07-01 00:08:00
1077,P0058,cart,2026-07-01 00:09:00
729,P0071,purchase,2026-07-01 00:10:00
1628,P0031,view,2026-07-01 00:11:00
3029,P0048,view,2026-07-01 00:12:00
1242,P0022,view,2026-07-01 00:13:00
4430,P0010,view,2026-07-01 00:14:00
1667,P0010,purchase,2026-07-01 00:15:00
283,P0005,cart,2026-07-01 00:16:00
602,P0026,cart,2026-07-01 00:17:00
205,P0065,view,2026-07-01 00:18:00
1715,P0046,view,2026-07-01 00:19:00
3644,P0002,view,2026-07-01 00:20:00
3310,P0001,view,2026-07-01 00:21:00
2393,P0038,cart,2026-07-01 00:22:00
851,P0071,purchase,2026-07-01 00:23:00
2957,P0058,cart,2026-07-01 00:24:00
2674,P0040,view,2026-07-01 00:25:00
2008,P0031,view,2026-07-01 00:26:00
2100,P0037,cart,2026-07-01 00:27:00
1855,P0035,view,2026-07-01 00:28:00
515,P0039,view,2026-07-01 00:29:00
2769,P0007,view,2026-07-01 00:30:00
259,P0027,view,2026-07-01 00:31:00
2296,P0010,view,2026-07-01 00:32:00
3454,P0025,view,2026-07-01 00:33:00
1474,P0003,view,2026-07-01 00:34:00
3695,P0060,view,2026-07-01 00:35:00
1128,P0040,purchase,2026-07-01 00:36:00
3828,P0061,view,2026-07-01 00:37:00
4384,P0021,view,2026-07-01 00:38:00
2371,P0055,view,2026-07-01 00:39:00
4046,P0070,view,2026-07-01 00:40:00
1569,P0070,cart,2026-07-01 00:41:00
3591,P0020,view,2026-07-01 00:42:00
1340,P0025,view,2026-07-01 00:43:00
4138,P0050,view,2026-07-01 00:44:00
1698,P0063,view,2026-07-01 00:45:00
4038,P0034,view,2026-07-01 00:46:00
1521,P0003,purchase,2026-07-01 00:47:00
2200,P0039,view,2026-07-01 00:48:00
528,P0031,cart,2026-07-01 00:49:00
1369,P0012,view,2026-07-01 00:50:00
428,P0055,view,2026-07-01 00:51:00
2376,P0041,cart,2026-07-01 00:52:00
2735,P0001,view,2026-07-01 00:53:00
3705,P0030,purchase,2026-07-01 00:54:00
560,P0060,view,2026-07-01 00:55:00
1667,P0052,view,2026-07-01 00:56:00
745,P0003,view,2026-07-01 00:57:00
1578,P0030,view,2026-07-01 00:58:00
2140,P0064,view,2026-07-01 00:59:00
2300,P0034,view,2026-07-01 01:00:00
166,P0058,view,2026-07-01 01:01:00
1647,P0031,view,2026-07-01 01:02:00
84,P0004,view,2026-07-01 01:03:00
1914,P0066,view,2026-07-01 01:04:00
3484,P0053,view,2026-07-01 01:05:00
3309,P0033,view,2026-07-01 01:06:00
723,P0056,cart,2026-07-01 01:07:00
186,P0015,view,2026-07-01 01:08:00
4270,P0057,view,2026-07-01 01:09:00
1439,P0068,view,2026-07-01 01:10:00
1051,P0041,view,2026-07-01 01:11:00
1313,P0042,view,2026-07-01 01:12:00
1573,P0011,cart,2026-07-01 01:13:00
1667,P0013,cart,2026-07-01 01:14:00
3141,P0058,view,2026-07-01 01:15:00
1910,P0057,view,2026-07-01 01:16:00
3846,P0070,purchase,2026-07-01 01:17:00
550,P0016,view,2026-07-01 01:18:00
1961,P0048,cart,2026-07-01 01:19:00
4196,P0046,view,2026-07-01 01:20:00
1443,P0021,view,2026-07-01 01:21:00
3271,P0048,view,2026-07-01 01:22:00
1446,P0025,view,2026-07-01 01:23:00
3943,P0058,view,2026-07-01 01:24:00
3618,P0047,view,2026-07-01 01:25:00
2231,P0048,view,2026-07-01 01:26:00
4101,P0020,purchase,2026-07-01 01:27:00
786,P0071,view,2026-07-01 01:28:00
1507,P0051,purchase,2026-07-01 01:29:00
2403,P0031,cart,2026-07-01 01:30:00
4360,P0054,view,2026-07-01 01:31:00
2906,P0062,purchase,2026-07-01 01:32:00
702,P0049,cart,2026-07-01 01:33:00
2511,P0041,cart,2026-07-01 01:34:00
194,P0037,view,2026-07-01 01:35:00
261,P0025,view,2026-07-01 01:36:00
3401,P0013,purchase,2026-07-01 01:37:00
1487,P0032,view,2026-07-01 01:38:00
99,P0026,view,2026-07-01 01:39:00
2980,P0011,cart,2026-07-01 01:40:00
916,P0059,view,2026-07-01 01:41:00
2400,P0053,view,2026-07-01 01:42:00
1506,P0041,cart,2026-07-01 01:43:00
2562,P0007,view,2026-07-01 01:44:00
257,P0008,view,2026-07-01 01:45:00
926,P0012,view,2026-07-01 01:46:00
1628,P0011,cart,2026-07-01 01:47:00
1785,P0051,purchase,2026-07-01 01:48:00
2203,P0057,view,2026-07-01 01:49:00
206,P0026,view,2026-07-01 01:50:00
2543,P0012,view,2026-07-01 01:51:00
3493,P0070,view,2026-07-01 01:52:00
2163,P0012,view,2026-07-01 01:53:00
1292,P0039,purchase,2026-07-01 01:54:00
900,P0018,view,2026-07-01 01:55:00
612,P0005,cart,2026-07-01 01:56:00
2400,P0038,view,2026-07-01 01:57:00
815,P0059,view,2026-07-01 01:58:00
4084,P0013,view,2026-07-01 01:59:00
2491,P0005,cart,2026-07-01 02:00:00
2081,P0018,view,2026-07-01 02:01:00
3106,P0064,view,2026-07-01 02:02:00
315,P0062,view,2026-07-01 02:03:00
4113,P0047,view,2026-07-01 02:04:00
2416,P0061,cart,2026-07-01 02:05:00
1956,P0008,cart,2026-07-01 02:06:00
2403,P0016,purchase,2026-07-01 02:07:00
413,P0025,view,2026-07-01 02:08:00
3557,P0051,cart,2026-07-01 02:09:00
3799,P0041,cart,2026-07-01 02:10:00
800,P0006,view,2026-07-01 02:11:00
204,P0064,purchase,2026-07-01 02:12:00
32,P0047,view,2026-07-01 02:13:00
3147,P0004,view,2026-07-01 02:14:00
458,P0032,view,2026-07-01 02:15:00
2628,P0058,view,2026-07-01 02:16:00
3662,P0039,view,2026-07-01 02:17:00
442,P0041,view,2026-07-01 02:18:00
2307,P0046,view,2026-07-01 02:19:00
71,P0022,view,2026-07-01 02:20:00
3342,P0021,view,2026-07-01 02:21:00
239,P0007,cart,2026-07-01 02:22:00
2107,P0046,view,2026-07-01 02:23:00
3514,P0039,view,2026-07-01 02:24:00
4152,P0070,view,2026-07-01 02:25:00
489,P0042,view,2026-07-01 02:26:00
1904,P0032,cart,2026-07-01 02:27:00
1771,P0035,view,2026-07-01 02:28:00
1178,P0051,purchase,2026-07-01 02:29:00
560,P0035,view,2026-07-01 02:30:00
1818,P0032,view,2026-07-01 02:31:00
